,Questions,Ratings
269605,Recommend hospital - star rating,4
269606,Summary star rating,3
269611,Nurse communication - star rating,2
269625,Doctor communication - star rating,2
269639,Staff responsiveness - star rating,3
269650,Communication about medicines - star rating,2
269660,Discharge information - star rating,4
269669,Care transition - star rating,2
269683,Cleanliness - star rating,4
269688,Quietness - star rating,2
269693,Overall hospital rating - star rating,2
269698,Recommend hospital - star rating,3
269699,Summary star rating,3
269704,Nurse communication - star rating,3
269718,Doctor communication - star rating,2
269732,Staff responsiveness - star rating,2
269743,Communication about medicines - star rating,2
269753,Discharge information - star rating,2
269762,Care transition - star rating,2
269776,Cleanliness - star rating,4
269781,Quietness - star rating,1
269786,Overall hospital rating - star rating,2
269791,Recommend hospital - star rating,2
269792,Summary star rating,2
269797,Nurse communication - star rating,4
269811,Doctor communication - star rating,4
269825,Staff responsiveness - star rating,3
269836,Communication about medicines - star rating,4
269846,Discharge information - star rating,4
269855,Care transition - star rating,3
269869,Cleanliness - star rating,3
269874,Quietness - star rating,3
269879,Overall hospital rating - star rating,4
269884,Recommend hospital - star rating,4
269885,Summary star rating,4
269890,Nurse communication - star rating,3
269904,Doctor communication - star rating,3
269918,Staff responsiveness - star rating,3
269929,Communication about medicines - star rating,2
269939,Discharge information - star rating,2
269948,Care transition - star rating,3
269962,Cleanliness - star rating,3
269967,Quietness - star rating,1
269972,Overall hospital rating - star rating,3
269977,Recommend hospital - star rating,3
269978,Summary star rating,3
270076,Nurse communication - star rating,2
270090,Doctor communication - star rating,3
270104,Staff responsiveness - star rating,1
270115,Communication about medicines - star rating,2
270125,Discharge information - star rating,4
270134,Care transition - star rating,2
270148,Cleanliness - star rating,1
270153,Quietness - star rating,1
270158,Overall hospital rating - star rating,2
270163,Recommend hospital - star rating,2
270164,Summary star rating,2
270169,Nurse communication - star rating,3
270183,Doctor communication - star rating,3
270197,Staff responsiveness - star rating,2
270208,Communication about medicines - star rating,3
270218,Discharge information - star rating,3
270227,Care transition - star rating,2
270241,Cleanliness - star rating,3
270246,Quietness - star rating,2
270251,Overall hospital rating - star rating,3
270256,Recommend hospital - star rating,3
270257,Summary star rating,3
270262,Nurse communication - star rating,1
270276,Doctor communication - star rating,2
270290,Staff responsiveness - star rating,1
270301,Communication about medicines - star rating,1
270311,Discharge information - star rating,1
270320,Care transition - star rating,2
270334,Cleanliness - star rating,3
270339,Quietness - star rating,1
270344,Overall hospital rating - star rating,2
270349,Recommend hospital - star rating,2
270350,Summary star rating,2
270355,Nurse communication - star rating,2
270369,Doctor communication - star rating,3
270383,Staff responsiveness - star rating,2
270394,Communication about medicines - star rating,2
270404,Discharge information - star rating,2
270413,Care transition - star rating,2
270427,Cleanliness - star rating,3
270432,Quietness - star rating,1
270437,Overall hospital rating - star rating,2
270442,Recommend hospital - star rating,2
270443,Summary star rating,2
270448,Nurse communication - star rating,4
270462,Doctor communication - star rating,3
270476,Staff responsiveness - star rating,3
270487,Communication about medicines - star rating,3
270497,Discharge information - star rating,3
270506,Care transition - star rating,3
270520,Cleanliness - star rating,3
270525,Quietness - star rating,3
270530,Overall hospital rating - star rating,4
270535,Recommend hospital - star rating,4
270536,Summary star rating,3
270541,Nurse communication - star rating,3
270555,Doctor communication - star rating,2
270569,Staff responsiveness - star rating,3
270580,Communication about medicines - star rating,2
270590,Discharge information - star rating,3
270599,Care transition - star rating,2
270613,Cleanliness - star rating,3
270618,Quietness - star rating,2
270623,Overall hospital rating - star rating,3
270628,Recommend hospital - star rating,3
270629,Summary star rating,3
270634,Nurse communication - star rating,2
270648,Doctor communication - star rating,2
270662,Staff responsiveness - star rating,1
270673,Communication about medicines - star rating,2
270683,Discharge information - star rating,3
270692,Care transition - star rating,2
270706,Cleanliness - star rating,3
270711,Quietness - star rating,1
270716,Overall hospital rating - star rating,2
270721,Recommend hospital - star rating,2
270722,Summary star rating,2
270727,Nurse communication - star rating,2
270741,Doctor communication - star rating,3
270755,Staff responsiveness - star rating,2
270766,Communication about medicines - star rating,2
270776,Discharge information - star rating,3
270785,Care transition - star rating,2
270799,Cleanliness - star rating,3
270804,Quietness - star rating,3
270809,Overall hospital rating - star rating,3
270814,Recommend hospital - star rating,3
270815,Summary star rating,3
270820,Nurse communication - star rating,1
270834,Doctor communication - star rating,2
270848,Staff responsiveness - star rating,1
270859,Communication about medicines - star rating,1
270869,Discharge information - star rating,2
270878,Care transition - star rating,1
270892,Cleanliness - star rating,2
270897,Quietness - star rating,1
270902,Overall hospital rating - star rating,1
270907,Recommend hospital - star rating,1
270908,Summary star rating,1
271099,Nurse communication - star rating,3
271113,Doctor communication - star rating,4
271127,Staff responsiveness - star rating,3
271138,Communication about medicines - star rating,3
271148,Discharge information - star rating,4
271157,Care transition - star rating,3
271171,Cleanliness - star rating,3
271176,Quietness - star rating,4
271181,Overall hospital rating - star rating,4
271186,Recommend hospital - star rating,4
271187,Summary star rating,3
271192,Nurse communication - star rating,3
271206,Doctor communication - star rating,3
271220,Staff responsiveness - star rating,2
271231,Communication about medicines - star rating,2
271241,Discharge information - star rating,3
271250,Care transition - star rating,2
271264,Cleanliness - star rating,3
271269,Quietness - star rating,1
271274,Overall hospital rating - star rating,2
271279,Recommend hospital - star rating,3
271280,Summary star rating,2
271285,Nurse communication - star rating,3
271299,Doctor communication - star rating,3
271313,Staff responsiveness - star rating,3
271324,Communication about medicines - star rating,2
271334,Discharge information - star rating,3
271343,Care transition - star rating,2
271357,Cleanliness - star rating,3
271362,Quietness - star rating,2
271367,Overall hospital rating - star rating,2
271372,Recommend hospital - star rating,2
271373,Summary star rating,3
271378,Nurse communication - star rating,2
271392,Doctor communication - star rating,2
271406,Staff responsiveness - star rating,2
271417,Communication about medicines - star rating,2
271427,Discharge information - star rating,2
271436,Care transition - star rating,2
271450,Cleanliness - star rating,3
271455,Quietness - star rating,1
271460,Overall hospital rating - star rating,2
271465,Recommend hospital - star rating,2
271466,Summary star rating,2
271471,Nurse communication - star rating,5
271485,Doctor communication - star rating,5
271499,Staff responsiveness - star rating,3
271510,Communication about medicines - star rating,4
271520,Discharge information - star rating,2
271529,Care transition - star rating,4
271543,Cleanliness - star rating,4
271548,Quietness - star rating,4
271553,Overall hospital rating - star rating,4
271558,Recommend hospital - star rating,3
271559,Summary star rating,4
271564,Nurse communication - star rating,3
271578,Doctor communication - star rating,3
271592,Staff responsiveness - star rating,3
271603,Communication about medicines - star rating,3
271613,Discharge information - star rating,2
271622,Care transition - star rating,2
271636,Cleanliness - star rating,3
271641,Quietness - star rating,1
271646,Overall hospital rating - star rating,2
271651,Recommend hospital - star rating,3
271652,Summary star rating,3
271657,Nurse communication - star rating,4
271671,Doctor communication - star rating,4
271685,Staff responsiveness - star rating,3
271696,Communication about medicines - star rating,2
271706,Discharge information - star rating,3
271715,Care transition - star rating,3
271729,Cleanliness - star rating,4
271734,Quietness - star rating,3
271739,Overall hospital rating - star rating,4
271744,Recommend hospital - star rating,4
271745,Summary star rating,3
271750,Nurse communication - star rating,2
271764,Doctor communication - star rating,2
271778,Staff responsiveness - star rating,2
271789,Communication about medicines - star rating,2
271799,Discharge information - star rating,2
271808,Care transition - star rating,1
271822,Cleanliness - star rating,3
271827,Quietness - star rating,1
271832,Overall hospital rating - star rating,2
271837,Recommend hospital - star rating,1
271838,Summary star rating,2
271843,Nurse communication - star rating,3
271857,Doctor communication - star rating,3
271871,Staff responsiveness - star rating,2
271882,Communication about medicines - star rating,2
271892,Discharge information - star rating,4
271901,Care transition - star rating,3
271915,Cleanliness - star rating,2
271920,Quietness - star rating,2
271925,Overall hospital rating - star rating,3
271930,Recommend hospital - star rating,4
271931,Summary star rating,3
272029,Nurse communication - star rating,2
272043,Doctor communication - star rating,2
272057,Staff responsiveness - star rating,2
272068,Communication about medicines - star rating,2
272078,Discharge information - star rating,3
272087,Care transition - star rating,2
272101,Cleanliness - star rating,4
272106,Quietness - star rating,2
272111,Overall hospital rating - star rating,2
272116,Recommend hospital - star rating,2
272117,Summary star rating,2
272122,Nurse communication - star rating,2
272136,Doctor communication - star rating,3
272150,Staff responsiveness - star rating,2
272161,Communication about medicines - star rating,3
272171,Discharge information - star rating,2
272180,Care transition - star rating,2
272194,Cleanliness - star rating,3
272199,Quietness - star rating,3
272204,Overall hospital rating - star rating,3
272209,Recommend hospital - star rating,3
272210,Summary star rating,3
272215,Nurse communication - star rating,2
272229,Doctor communication - star rating,2
272243,Staff responsiveness - star rating,3
272254,Communication about medicines - star rating,2
272264,Discharge information - star rating,4
272273,Care transition - star rating,2
272287,Cleanliness - star rating,4
272292,Quietness - star rating,2
272297,Overall hospital rating - star rating,2
272302,Recommend hospital - star rating,2
272303,Summary star rating,3
272308,Nurse communication - star rating,3
272322,Doctor communication - star rating,4
272336,Staff responsiveness - star rating,2
272347,Communication about medicines - star rating,4
272357,Discharge information - star rating,2
272366,Care transition - star rating,3
272380,Cleanliness - star rating,3
272385,Quietness - star rating,3
272390,Overall hospital rating - star rating,3
272395,Recommend hospital - star rating,3
272396,Summary star rating,3
272401,Nurse communication - star rating,2
272415,Doctor communication - star rating,2
272429,Staff responsiveness - star rating,3
272440,Communication about medicines - star rating,2
272450,Discharge information - star rating,3
272459,Care transition - star rating,2
272473,Cleanliness - star rating,2
272478,Quietness - star rating,2
272483,Overall hospital rating - star rating,2
272488,Recommend hospital - star rating,2
272489,Summary star rating,2
272494,Nurse communication - star rating,4
272508,Doctor communication - star rating,3
272522,Staff responsiveness - star rating,3
272533,Communication about medicines - star rating,3
272543,Discharge information - star rating,3
272552,Care transition - star rating,3
272566,Cleanliness - star rating,4
272571,Quietness - star rating,3
272576,Overall hospital rating - star rating,4
272581,Recommend hospital - star rating,4
272582,Summary star rating,3
272587,Nurse communication - star rating,5
272601,Doctor communication - star rating,3
272615,Staff responsiveness - star rating,3
272626,Communication about medicines - star rating,4
272636,Discharge information - star rating,4
272645,Care transition - star rating,4
272659,Cleanliness - star rating,4
272664,Quietness - star rating,2
272669,Overall hospital rating - star rating,5
272674,Recommend hospital - star rating,5
272675,Summary star rating,4
272680,Nurse communication - star rating,2
272694,Doctor communication - star rating,3
272708,Staff responsiveness - star rating,2
272719,Communication about medicines - star rating,1
272729,Discharge information - star rating,1
272738,Care transition - star rating,2
272752,Cleanliness - star rating,2
272757,Quietness - star rating,2
272762,Overall hospital rating - star rating,2
272767,Recommend hospital - star rating,2
272768,Summary star rating,2
272773,Nurse communication - star rating,5
272787,Doctor communication - star rating,4
272801,Staff responsiveness - star rating,4
272812,Communication about medicines - star rating,3
272822,Discharge information - star rating,4
272831,Care transition - star rating,4
272845,Cleanliness - star rating,5
272850,Quietness - star rating,3
272855,Overall hospital rating - star rating,4
272860,Recommend hospital - star rating,4
272861,Summary star rating,4
272866,Nurse communication - star rating,3
272880,Doctor communication - star rating,2
272894,Staff responsiveness - star rating,2
272905,Communication about medicines - star rating,2
272915,Discharge information - star rating,3
272924,Care transition - star rating,2
272938,Cleanliness - star rating,3
272943,Quietness - star rating,2
272948,Overall hospital rating - star rating,3
272953,Recommend hospital - star rating,3
272954,Summary star rating,2
272959,Nurse communication - star rating,4
272973,Doctor communication - star rating,3
272987,Staff responsiveness - star rating,3
272998,Communication about medicines - star rating,3
273008,Discharge information - star rating,4
273017,Care transition - star rating,2
273031,Cleanliness - star rating,4
273036,Quietness - star rating,2
273041,Overall hospital rating - star rating,3
273046,Recommend hospital - star rating,3
273047,Summary star rating,3
273052,Nurse communication - star rating,2
273066,Doctor communication - star rating,2
273080,Staff responsiveness - star rating,2
273091,Communication about medicines - star rating,2
273101,Discharge information - star rating,2
273110,Care transition - star rating,1
273124,Cleanliness - star rating,3
273129,Quietness - star rating,1
273134,Overall hospital rating - star rating,2
273139,Recommend hospital - star rating,2
273140,Summary star rating,2
273145,Nurse communication - star rating,1
273159,Doctor communication - star rating,1
273173,Staff responsiveness - star rating,1
273184,Communication about medicines - star rating,1
273194,Discharge information - star rating,1
273203,Care transition - star rating,1
273217,Cleanliness - star rating,1
273222,Quietness - star rating,1
273227,Overall hospital rating - star rating,1
273232,Recommend hospital - star rating,1
273233,Summary star rating,1
273238,Nurse communication - star rating,3
273252,Doctor communication - star rating,3
273266,Staff responsiveness - star rating,2
273277,Communication about medicines - star rating,2
273287,Discharge information - star rating,2
273296,Care transition - star rating,2
273310,Cleanliness - star rating,3
273315,Quietness - star rating,2
273320,Overall hospital rating - star rating,3
273325,Recommend hospital - star rating,3
273326,Summary star rating,2
273331,Nurse communication - star rating,2
273345,Doctor communication - star rating,2
273359,Staff responsiveness - star rating,2
273370,Communication about medicines - star rating,1
273380,Discharge information - star rating,2
273389,Care transition - star rating,2
273403,Cleanliness - star rating,3
273408,Quietness - star rating,2
273413,Overall hospital rating - star rating,2
273418,Recommend hospital - star rating,2
273419,Summary star rating,2
273424,Nurse communication - star rating,3
273438,Doctor communication - star rating,3
273452,Staff responsiveness - star rating,4
273463,Communication about medicines - star rating,3
273473,Discharge information - star rating,4
273482,Care transition - star rating,3
273496,Cleanliness - star rating,4
273501,Quietness - star rating,2
273506,Overall hospital rating - star rating,3
273511,Recommend hospital - star rating,4
273512,Summary star rating,3
273517,Nurse communication - star rating,2
273531,Doctor communication - star rating,2
273545,Staff responsiveness - star rating,1
273556,Communication about medicines - star rating,2
273566,Discharge information - star rating,2
273575,Care transition - star rating,2
273589,Cleanliness - star rating,2
273594,Quietness - star rating,1
273599,Overall hospital rating - star rating,2
273604,Recommend hospital - star rating,2
273605,Summary star rating,2
273610,Nurse communication - star rating,2
273624,Doctor communication - star rating,2
273638,Staff responsiveness - star rating,2
273649,Communication about medicines - star rating,2
273659,Discharge information - star rating,2
273668,Care transition - star rating,3
273682,Cleanliness - star rating,4
273687,Quietness - star rating,2
273692,Overall hospital rating - star rating,2
273697,Recommend hospital - star rating,3
273698,Summary star rating,2
273703,Nurse communication - star rating,3
273717,Doctor communication - star rating,3
273731,Staff responsiveness - star rating,3
273742,Communication about medicines - star rating,3
273752,Discharge information - star rating,3
273761,Care transition - star rating,3
273775,Cleanliness - star rating,3
273780,Quietness - star rating,2
273785,Overall hospital rating - star rating,3
273790,Recommend hospital - star rating,3
273791,Summary star rating,3
273796,Nurse communication - star rating,2
273810,Doctor communication - star rating,3
273824,Staff responsiveness - star rating,1
273835,Communication about medicines - star rating,2
273845,Discharge information - star rating,1
273854,Care transition - star rating,2
273868,Cleanliness - star rating,4
273873,Quietness - star rating,2
273878,Overall hospital rating - star rating,3
273883,Recommend hospital - star rating,3
273884,Summary star rating,2
273889,Nurse communication - star rating,2
273903,Doctor communication - star rating,3
273917,Staff responsiveness - star rating,1
273928,Communication about medicines - star rating,2
273938,Discharge information - star rating,3
273947,Care transition - star rating,2
273961,Cleanliness - star rating,2
273966,Quietness - star rating,1
273971,Overall hospital rating - star rating,2
273976,Recommend hospital - star rating,3
273977,Summary star rating,2
273982,Nurse communication - star rating,1
273996,Doctor communication - star rating,3
274010,Staff responsiveness - star rating,1
274021,Communication about medicines - star rating,1
274031,Discharge information - star rating,2
274040,Care transition - star rating,2
274054,Cleanliness - star rating,2
274059,Quietness - star rating,1
274064,Overall hospital rating - star rating,2
274069,Recommend hospital - star rating,3
274070,Summary star rating,2
274075,Nurse communication - star rating,5
274089,Doctor communication - star rating,3
274103,Staff responsiveness - star rating,4
274114,Communication about medicines - star rating,3
274124,Discharge information - star rating,4
274133,Care transition - star rating,4
274147,Cleanliness - star rating,4
274152,Quietness - star rating,3
274157,Overall hospital rating - star rating,4
274162,Recommend hospital - star rating,4
274163,Summary star rating,4
274168,Nurse communication - star rating,2
274182,Doctor communication - star rating,3
274196,Staff responsiveness - star rating,2
274207,Communication about medicines - star rating,2
274217,Discharge information - star rating,2
274226,Care transition - star rating,2
274240,Cleanliness - star rating,4
274245,Quietness - star rating,2
274250,Overall hospital rating - star rating,2
274255,Recommend hospital - star rating,3
274256,Summary star rating,2
274354,Nurse communication - star rating,4
274368,Doctor communication - star rating,3
274382,Staff responsiveness - star rating,4
274393,Communication about medicines - star rating,3
274403,Discharge information - star rating,4
274412,Care transition - star rating,3
274426,Cleanliness - star rating,4
274431,Quietness - star rating,3
274436,Overall hospital rating - star rating,3
274441,Recommend hospital - star rating,3
274442,Summary star rating,3
274447,Nurse communication - star rating,3
274461,Doctor communication - star rating,3
274475,Staff responsiveness - star rating,2
274486,Communication about medicines - star rating,2
274496,Discharge information - star rating,3
274505,Care transition - star rating,3
274519,Cleanliness - star rating,3
274524,Quietness - star rating,2
274529,Overall hospital rating - star rating,3
274534,Recommend hospital - star rating,4
274535,Summary star rating,3
274540,Nurse communication - star rating,3
274554,Doctor communication - star rating,3
274568,Staff responsiveness - star rating,3
274579,Communication about medicines - star rating,3
274589,Discharge information - star rating,4
274598,Care transition - star rating,3
274612,Cleanliness - star rating,3
274617,Quietness - star rating,3
274622,Overall hospital rating - star rating,3
274627,Recommend hospital - star rating,3
274628,Summary star rating,3
274633,Nurse communication - star rating,4
274647,Doctor communication - star rating,3
274661,Staff responsiveness - star rating,3
274672,Communication about medicines - star rating,3
274682,Discharge information - star rating,4
274691,Care transition - star rating,3
274705,Cleanliness - star rating,4
274710,Quietness - star rating,2
274715,Overall hospital rating - star rating,3
274720,Recommend hospital - star rating,3
274721,Summary star rating,3
274726,Nurse communication - star rating,2
274740,Doctor communication - star rating,2
274754,Staff responsiveness - star rating,2
274765,Communication about medicines - star rating,2
274775,Discharge information - star rating,3
274784,Care transition - star rating,2
274798,Cleanliness - star rating,2
274803,Quietness - star rating,1
274808,Overall hospital rating - star rating,2
274813,Recommend hospital - star rating,3
274814,Summary star rating,2
274819,Nurse communication - star rating,1
274833,Doctor communication - star rating,2
274847,Staff responsiveness - star rating,1
274858,Communication about medicines - star rating,1
274868,Discharge information - star rating,2
274877,Care transition - star rating,1
274891,Cleanliness - star rating,3
274896,Quietness - star rating,1
274901,Overall hospital rating - star rating,2
274906,Recommend hospital - star rating,2
274907,Summary star rating,2
274912,Nurse communication - star rating,5
274926,Doctor communication - star rating,4
274940,Staff responsiveness - star rating,4
274951,Communication about medicines - star rating,3
274961,Discharge information - star rating,4
274970,Care transition - star rating,3
274984,Cleanliness - star rating,3
274989,Quietness - star rating,2
274994,Overall hospital rating - star rating,4
274999,Recommend hospital - star rating,4
275000,Summary star rating,4
275005,Nurse communication - star rating,2
275019,Doctor communication - star rating,2
275033,Staff responsiveness - star rating,3
275044,Communication about medicines - star rating,1
275054,Discharge information - star rating,1
275063,Care transition - star rating,1
275077,Cleanliness - star rating,4
275082,Quietness - star rating,1
275087,Overall hospital rating - star rating,2
275092,Recommend hospital - star rating,2
275093,Summary star rating,2
275098,Nurse communication - star rating,2
275112,Doctor communication - star rating,1
275126,Staff responsiveness - star rating,1
275137,Communication about medicines - star rating,2
275147,Discharge information - star rating,3
275156,Care transition - star rating,1
275170,Cleanliness - star rating,1
275175,Quietness - star rating,1
275180,Overall hospital rating - star rating,1
275185,Recommend hospital - star rating,1
275186,Summary star rating,2
275191,Nurse communication - star rating,3
275205,Doctor communication - star rating,3
275219,Staff responsiveness - star rating,2
275230,Communication about medicines - star rating,2
275240,Discharge information - star rating,3
275249,Care transition - star rating,2
275263,Cleanliness - star rating,2
275268,Quietness - star rating,2
275273,Overall hospital rating - star rating,2
275278,Recommend hospital - star rating,3
275279,Summary star rating,2
275284,Nurse communication - star rating,2
275298,Doctor communication - star rating,2
275312,Staff responsiveness - star rating,3
275323,Communication about medicines - star rating,1
275333,Discharge information - star rating,4
275342,Care transition - star rating,2
275356,Cleanliness - star rating,3
275361,Quietness - star rating,2
275366,Overall hospital rating - star rating,1
275371,Recommend hospital - star rating,1
275372,Summary star rating,2
275377,Nurse communication - star rating,2
275391,Doctor communication - star rating,4
275405,Staff responsiveness - star rating,1
275416,Communication about medicines - star rating,2
275426,Discharge information - star rating,2
275435,Care transition - star rating,2
275449,Cleanliness - star rating,4
275454,Quietness - star rating,3
275459,Overall hospital rating - star rating,3
275464,Recommend hospital - star rating,3
275465,Summary star rating,2
275470,Nurse communication - star rating,1
275484,Doctor communication - star rating,2
275498,Staff responsiveness - star rating,1
275509,Communication about medicines - star rating,1
275519,Discharge information - star rating,1
275528,Care transition - star rating,1
275542,Cleanliness - star rating,2
275547,Quietness - star rating,1
275552,Overall hospital rating - star rating,1
275557,Recommend hospital - star rating,1
275558,Summary star rating,1
275563,Nurse communication - star rating,1
275577,Doctor communication - star rating,2
275591,Staff responsiveness - star rating,1
275602,Communication about medicines - star rating,1
275612,Discharge information - star rating,2
275621,Care transition - star rating,1
275635,Cleanliness - star rating,2
275640,Quietness - star rating,1
275645,Overall hospital rating - star rating,1
275650,Recommend hospital - star rating,2
275651,Summary star rating,1
275656,Nurse communication - star rating,2
275670,Doctor communication - star rating,1
275684,Staff responsiveness - star rating,1
275695,Communication about medicines - star rating,1
275705,Discharge information - star rating,3
275714,Care transition - star rating,1
275728,Cleanliness - star rating,2
275733,Quietness - star rating,1
275738,Overall hospital rating - star rating,1
275743,Recommend hospital - star rating,1
275744,Summary star rating,1
275749,Nurse communication - star rating,3
275763,Doctor communication - star rating,3
275777,Staff responsiveness - star rating,2
275788,Communication about medicines - star rating,3
275798,Discharge information - star rating,3
275807,Care transition - star rating,2
275821,Cleanliness - star rating,3
275826,Quietness - star rating,2
275831,Overall hospital rating - star rating,3
275836,Recommend hospital - star rating,3
275837,Summary star rating,3
275842,Nurse communication - star rating,3
275856,Doctor communication - star rating,3
275870,Staff responsiveness - star rating,3
275881,Communication about medicines - star rating,3
275891,Discharge information - star rating,4
275900,Care transition - star rating,2
275914,Cleanliness - star rating,2
275919,Quietness - star rating,2
275924,Overall hospital rating - star rating,2
275929,Recommend hospital - star rating,3
275930,Summary star rating,3
275935,Nurse communication - star rating,3
275949,Doctor communication - star rating,3
275963,Staff responsiveness - star rating,3
275974,Communication about medicines - star rating,3
275984,Discharge information - star rating,4
275993,Care transition - star rating,2
276007,Cleanliness - star rating,3
276012,Quietness - star rating,2
276017,Overall hospital rating - star rating,2
276022,Recommend hospital - star rating,2
276023,Summary star rating,3
276028,Nurse communication - star rating,1
276042,Doctor communication - star rating,2
276056,Staff responsiveness - star rating,1
276067,Communication about medicines - star rating,1
276077,Discharge information - star rating,1
276086,Care transition - star rating,1
276100,Cleanliness - star rating,4
276105,Quietness - star rating,2
276110,Overall hospital rating - star rating,1
276115,Recommend hospital - star rating,1
276116,Summary star rating,1
276121,Nurse communication - star rating,3
276135,Doctor communication - star rating,3
276149,Staff responsiveness - star rating,3
276160,Communication about medicines - star rating,3
276170,Discharge information - star rating,4
276179,Care transition - star rating,3
276193,Cleanliness - star rating,4
276198,Quietness - star rating,2
276203,Overall hospital rating - star rating,3
276208,Recommend hospital - star rating,4
276209,Summary star rating,3
276214,Nurse communication - star rating,3
276228,Doctor communication - star rating,2
276242,Staff responsiveness - star rating,2
276253,Communication about medicines - star rating,2
276263,Discharge information - star rating,2
276272,Care transition - star rating,2
276286,Cleanliness - star rating,1
276291,Quietness - star rating,1
276296,Overall hospital rating - star rating,2
276301,Recommend hospital - star rating,2
276302,Summary star rating,2
276307,Nurse communication - star rating,3
276321,Doctor communication - star rating,3
276335,Staff responsiveness - star rating,3
276346,Communication about medicines - star rating,3
276356,Discharge information - star rating,4
276365,Care transition - star rating,3
276379,Cleanliness - star rating,3
276384,Quietness - star rating,2
276389,Overall hospital rating - star rating,4
276394,Recommend hospital - star rating,4
276395,Summary star rating,3
276400,Nurse communication - star rating,4
276414,Doctor communication - star rating,3
276428,Staff responsiveness - star rating,3
276439,Communication about medicines - star rating,4
276449,Discharge information - star rating,3
276458,Care transition - star rating,4
276472,Cleanliness - star rating,4
276477,Quietness - star rating,3
276482,Overall hospital rating - star rating,4
276487,Recommend hospital - star rating,4
276488,Summary star rating,4
276493,Nurse communication - star rating,3
276507,Doctor communication - star rating,3
276521,Staff responsiveness - star rating,2
276532,Communication about medicines - star rating,3
276542,Discharge information - star rating,3
276551,Care transition - star rating,2
276565,Cleanliness - star rating,4
276570,Quietness - star rating,2
276575,Overall hospital rating - star rating,2
276580,Recommend hospital - star rating,2
276581,Summary star rating,3
276586,Nurse communication - star rating,2
276600,Doctor communication - star rating,3
276614,Staff responsiveness - star rating,2
276625,Communication about medicines - star rating,2
276635,Discharge information - star rating,3
276644,Care transition - star rating,3
276658,Cleanliness - star rating,4
276663,Quietness - star rating,3
276668,Overall hospital rating - star rating,3
276673,Recommend hospital - star rating,3
276674,Summary star rating,3
276679,Nurse communication - star rating,5
276693,Doctor communication - star rating,4
276707,Staff responsiveness - star rating,5
276718,Communication about medicines - star rating,5
276728,Discharge information - star rating,4
276737,Care transition - star rating,3
276751,Cleanliness - star rating,5
276756,Quietness - star rating,5
276761,Overall hospital rating - star rating,4
276766,Recommend hospital - star rating,4
276767,Summary star rating,4
276772,Nurse communication - star rating,3
276786,Doctor communication - star rating,3
276800,Staff responsiveness - star rating,3
276811,Communication about medicines - star rating,3
276821,Discharge information - star rating,3
276830,Care transition - star rating,3
276844,Cleanliness - star rating,4
276849,Quietness - star rating,2
276854,Overall hospital rating - star rating,3
276859,Recommend hospital - star rating,3
276860,Summary star rating,3
276865,Nurse communication - star rating,2
276879,Doctor communication - star rating,3
276893,Staff responsiveness - star rating,2
276904,Communication about medicines - star rating,2
276914,Discharge information - star rating,3
276923,Care transition - star rating,2
276937,Cleanliness - star rating,3
276942,Quietness - star rating,1
276947,Overall hospital rating - star rating,2
276952,Recommend hospital - star rating,2
276953,Summary star rating,2
276958,Nurse communication - star rating,3
276972,Doctor communication - star rating,4
276986,Staff responsiveness - star rating,4
276997,Communication about medicines - star rating,3
277007,Discharge information - star rating,4
277016,Care transition - star rating,3
277030,Cleanliness - star rating,2
277035,Quietness - star rating,2
277040,Overall hospital rating - star rating,3
277045,Recommend hospital - star rating,3
277046,Summary star rating,3
277051,Nurse communication - star rating,3
277065,Doctor communication - star rating,3
277079,Staff responsiveness - star rating,3
277090,Communication about medicines - star rating,3
277100,Discharge information - star rating,4
277109,Care transition - star rating,3
277123,Cleanliness - star rating,4
277128,Quietness - star rating,2
277133,Overall hospital rating - star rating,3
277138,Recommend hospital - star rating,3
277139,Summary star rating,3
277144,Nurse communication - star rating,5
277158,Doctor communication - star rating,4
277172,Staff responsiveness - star rating,4
277183,Communication about medicines - star rating,4
277193,Discharge information - star rating,5
277202,Care transition - star rating,4
277216,Cleanliness - star rating,5
277221,Quietness - star rating,3
277226,Overall hospital rating - star rating,5
277231,Recommend hospital - star rating,5
277232,Summary star rating,4
277237,Nurse communication - star rating,2
277251,Doctor communication - star rating,3
277265,Staff responsiveness - star rating,2
277276,Communication about medicines - star rating,3
277286,Discharge information - star rating,3
277295,Care transition - star rating,2
277309,Cleanliness - star rating,2
277314,Quietness - star rating,2
277319,Overall hospital rating - star rating,2
277324,Recommend hospital - star rating,3
277325,Summary star rating,2
277330,Nurse communication - star rating,4
277344,Doctor communication - star rating,2
277358,Staff responsiveness - star rating,3
277369,Communication about medicines - star rating,2
277379,Discharge information - star rating,4
277388,Care transition - star rating,3
277402,Cleanliness - star rating,3
277407,Quietness - star rating,2
277412,Overall hospital rating - star rating,3
277417,Recommend hospital - star rating,3
277418,Summary star rating,3
277423,Nurse communication - star rating,3
277437,Doctor communication - star rating,2
277451,Staff responsiveness - star rating,3
277462,Communication about medicines - star rating,2
277472,Discharge information - star rating,3
277481,Care transition - star rating,3
277495,Cleanliness - star rating,3
277500,Quietness - star rating,3
277505,Overall hospital rating - star rating,3
277510,Recommend hospital - star rating,3
277511,Summary star rating,3
277516,Nurse communication - star rating,3
277530,Doctor communication - star rating,3
277544,Staff responsiveness - star rating,3
277555,Communication about medicines - star rating,2
277565,Discharge information - star rating,4
277574,Care transition - star rating,2
277588,Cleanliness - star rating,2
